,uid,artist,title,artist_uri,album_uri,item_uri,tags
1707,154489,Booker Stardrum,Drim Dram II,spotify:artist:5pHsBWZqG49vT69cBDbDZ5,spotify:album:3ngNqDlQISHnK5iS4zbF4M,spotify:track:6S8ZY7zq7zDkneMYiLvvcP,['experimental electronic']
1708,154493,Robbie Lee & Mary Halvorson,Seven Of Strong,,,,[]
1709,154432,J Hacha De Zola,On a Saturday,spotify:artist:6RBP5UTWwnYJ3vFFqgY5Ii,spotify:album:1nqeY3hJFDo5419rDUB020,spotify:track:1l8IrJLxwUaOpelSFIelpF,[]
1710,154430,Alex Lilly,Infantile,spotify:artist:1A5e9qhKscBeNv4mjmla5f,spotify:album:1EL9dFbwsEE5cfF7wOKWkE,spotify:track:7kdL7aVGGuqtNl7od8nDra,[]
1711,151148,Volker Bertelmann,I Can't Express My Deep Love,spotify:artist:1nO0SRSfsukVmUASnuravA,,,"['german soundtrack', 'soundtrack']"
1712,118465,Angelica Negron,Otro Dia Mas,spotify:artist:0z4hzKxAywZeshbUc1C8fY,,,"['21st century classical', 'american 21st century classical']"
1713,154277,Caroline Shaw,So Quietly,spotify:artist:3uUFClFtbjbjQQIq4BjY2C,spotify:album:0E4ifGYHGLA2fJ3xsD3U5O,spotify:track:4KjU6u1i4lRvpOcwTxcEfg,"['21st century classical', 'american 21st century classical', 'laboratorio']"
1714,152730,Robert Wyatt,Gharbzadegi,spotify:artist:5iksmHDN2qZQcgFfXqIXtT,spotify:album:4LZeR4fFlQfo2jXqM25j8O,spotify:track:4RaHy0sAyZ6WqgBFha9Vvz,"['art pop', 'art rock', 'british folk', 'canterbury scene', 'experimental', 'experimental rock', 'fourth world', 'post-punk', 'psychedelic rock', 'zolo']"
1715,153985,Richard Reed Parry,Farewell Ceremony,spotify:artist:7kdBCYCfsZQPu4dVYpvswY,spotify:album:3ReMk8tK99nThdcOB90ZsT,spotify:track:3RYxEh4ilJkOO9NJi7Bi6L,"['21st century classical', 'ottawa indie']"
1716,151944,Emily A. Sprague,Water Memory 1,spotify:artist:3GeWutjuNRg9uRqiIejRT9,spotify:album:7GFnprDHbH3BkxjCiOH0k6,spotify:track:7x1ct7s9fVqkIWwbah9NO1,"['ambient', 'electra', 'experimental ambient', 'experimental synth', 'fourth world', 'modular synth']"
1717,150056,Quindar,Arabella Anita,spotify:artist:3R34qHXZyDk2NhUzInVbNz,spotify:album:6Yj4j3KBM1Vvw0DL60QooP,spotify:track:6ios9sl75IyTwqubVsPIP5,[]
